text,label
"Congratulations! You have won ₹50,000 in Tata Lucky Draw. Claim your prize immediately by clicking https://tata-win-prize.claim-now.top",1
"URGENT: Your HDFC bank account has been blocked due to missing KYC updates. Update now at http://hdfc-bank-verify-kyc.net or account will be permanently closed.",1
"Dear customer, your SBI Debit Card is blocked. Please share your OTP 884920 to unblock immediately.",1
"You've been selected for a remote Work From Home job earning ₹8,000 per day! No experience needed. Wire $50 registration fee to activate.",1
"Your Amazon package delivery #88392 is suspended due to unpaid shipping fee of ₹49. Pay immediately at http://pkg-track-express.info/pay",1
"FINAL WARNING: Your Netflix subscription has expired. Update billing credentials within 24 hours at http://netflix-renew-sub.cc",1
"Hello Mom, I lost my phone and wallet. Please transfer $500 to this GPay number right away. Urgent!",1
"Earn 500% guaranteed return in 24 hours with AI Crypto Bot trading. Deposit Bitcoin now to start earning: http://fast-crypto-boom.biz",1
"Security Alert: Someone attempted to log into your Google Account from Russia. Verify your identity at http://google-security-auth-check.xyz",1
"You have 1 pending income tax refund of ₹24,500. Click here to claim your refund directly into your bank account: http://incometax-gov-refund.org",1
"Congratulations user, you are the 1,000,000th visitor! Win an iPhone 15 Pro Max now by filling out your credit card details.",1
"DEAR USER YOUR PAYTM ACCOUNT WILL BE DISABLED IN 2 HOURS. VERIFY YOUR PAN CARD AND AADHAAR NOW AT HTTP://PAYTM-KYC-ONLINE.NET",1
"Instant loan approved up to ₹5,000,000 with 0% interest rate! No paperwork needed. Click http://quick-cash-loan.top to get funds instantly.",1
"Your Electricity Bill of ₹3,420 is overdue. Power supply will be disconnected tonight at 9 PM. Call electricity manager at 9876543210 immediately.",1
"FREE $100 Amazon Gift Card for completing our 1 minute survey! Click http://giftcard-rewards-free.site to redeem your reward.",1
"Hi there, are we still meeting for lunch at 1 PM today?",0
"Hey, can you please send me the project report slide deck when you get a chance?",0
"Your OTP for logging into HDFC NetBanking is 492018. Valid for 10 minutes. Do not share it with anyone.",0
"Order confirmed! Your Flipkart order #3940294 has been shipped and will be delivered by Thursday.",0
"Hi Team, please find attached the meeting notes from today's sync session.",0
"Hey buddy, happy birthday! Hope you have an awesome day ahead.",0
"Your Uber ride is arriving in 3 minutes. Driver: Rajesh (MH12AB1234).",0
"Reminder: Your doctor appointment is scheduled for tomorrow at 10:30 AM at City Clinic.",0
"Hi Mum, I'll be home late tonight. Save some dinner for me please.",0
"The Zoom link for today's lecture on Machine Learning is https://university.zoom.us/j/987654321.",0
"Your monthly statement for account ending in 4920 is now available in your online portal.",0
"Hey, did you watch the match last night? What an incredible game!",0
"Please review the pull request on GitHub when you have some time: https://github.com/org/repo/pull/42",0
"Thank you for dining with us! We hope you enjoyed your meal at Bistro 360.",0
"Reminder: Your electric bill payment of ₹1,850 was successfully processed on 24-Aug-2026.",0
"URGENT ATTENTION REQUIRED: Unauthorized transaction of $1,200 detected on your credit card. Call 1-800-FAKE-NUM immediately to cancel.",1
"Claim your free trial of Premium Membership before the offer expires in 10 minutes! http://free-vip-pass.click",1
"Dear SBI Customer, your YONO app access has expired. Re-activate by entering your netbanking username and password at http://sbi-yono-update.com",1
"Congratulations! You won a cash prize in KBC lottery. Contact WhatsApp manager at +91-9876543210 to claim ₹25 Lakhs.",1
"Your courier parcel #IN-893021 could not be delivered due to incorrect address. Update address fee ₹15 at http://post-delivery-reschedule.site",1
"Are you available for a quick call this afternoon regarding the budget review?",0
"Hi, I emailed you the updated contract draft. Let me know your thoughts.",0
"Your flight booking #AZ9201 to Delhi is confirmed. Terminal 2, Seat 14B.",0
"Don't forget to buy milk and bread on your way back home.",0
"Special offer: Get 20% off on all footwear at Nike Store this weekend! Valid till Sunday.",0
"Your password for your Spotify account was successfully updated. If you did not request this, contact support.",0
"URGENT: Your account safety is at risk! Click http://secure-wallet-login.com to confirm your password and PIN.",1
"Win ₹100,000 cash instantly! Play online spin wheel game now at http://spin-win-jackpot.biz",1
"Dear user, your SIM card will be deactivated within 24 hours due to non-KYC compliance. Click http://sim-kyc-verify.tk",1
"Hi, can you send over the updated design assets when you're back at your desk?",0
"Thanks for signing up for our newsletter! You can unsubscribe anytime using the link at the bottom.",0
"Your payment of ₹450 at Starbucks was successful.",0
"Please find the weekly sales report for Q3 attached to this email.",0
"ALERT: Suspected fraudulent activity detected. Click http://bank-auth-alert.info to verify your identity.",1
"CONGRATULATIONS! You have been randomly selected for a $1,000 Walmart gift card. Enter your SSN to claim.",1
